file,status,error,bank_name,year,presence,tokens,out_tokens
"1870 Holdings, Inc._Y-6_2011-12-31_English_4834304_2",passed,,"Western Illinois Bancshares, Inc.",2011,both,5169,2070
"1870 Holdings, Inc._Y-6_2011-12-31_English_4834304_4",passed,,"Western Illinois Bancshares, Inc.",2011,both,5610,2147
1889 Bancorp MHC_Y-6_2011-04-30_English_7021795_2,passed,,1889 Bancorp Mutual Holding Company,2011,insiders,2885,1275
1889 Bancorp MHC_Y-6_2011-04-30_English_7021795_4,passed,,1889 Bancorp Mutual Holding Company,2011,insiders,2888,1275
1895 MHC_Y-6_2011-12-31_English_7027043_2,passed,,1895 MHC,2011,insiders,4244,4477
1895 MHC_Y-6_2011-12-31_English_7027043_4,passed,,1895 MHC,2011,insiders,4216,4371
"1ST SUMMIT BANCORP of Johnstown, Inc._Y-6_2011-12-31_English_7118640_2",passed,,"1ST SUMMIT BANCORP OF JOHNSTOWN, INC.",2011,both,7305,2640
"1ST SUMMIT BANCORP of Johnstown, Inc._Y-6_2011-12-31_English_7118640_4",passed,,"1ST SUMMIT BANCORP OF JOHNSTOWN, INC.",2011,both,7170,2635
"1st Advantage Bancshares, Inc._Y-6_2011-12-31_English_6722278_2",passed,,"1st Advantage Bancshares, Inc.",2011,both,4431,2060
"1st Advantage Bancshares, Inc._Y-6_2011-12-31_English_6722278_4",passed,,"1st Advantage Bancshares, Inc.",2011,both,4431,2212
"1st Brookfield, Inc._Y-6_2011-12-31_English_7092405_2",passed,,"1st Brookfield, Inc",2011,both,7256,1560
"1st Brookfield, Inc._Y-6_2011-12-31_English_7092405_4",passed,,"1st Brookfield, Inc",2011,both,7259,1553
"1st Century Bancshares, Inc._Y-6_2011-12-31_English_4803355_2",passed,,"1st Century Bancshares, Inc.",2011,both,7573,2582
"1st Century Bancshares, Inc._Y-6_2011-12-31_English_4803355_4",passed,,"1st Century Bancshares, Inc.",2011,both,7731,2447
"1st Colonial Bancorp, Inc._Y-6_2011-12-31_English_7118638_2",passed,,"1st Colonial Bancorp, Inc.",2011,both,3442,2254
"1st Colonial Bancorp, Inc._Y-6_2011-12-31_English_7118638_4",passed,,"1st Colonial Bancorp, Inc.",2011,both,3442,2279
"1st Jackson Bancshares, Inc._Y-6_2011-12-31_English_7105982_2",passed,,"1st Jackson Bancshares, Inc.",2011,none,3158,66
"1st Jackson Bancshares, Inc._Y-6_2011-12-31_English_7105982_4",passed,,First Jackson Bank,2011,none,16186,61
"1st State Financial, Ltd._Y-6_2011-12-31_English_4788930_2",passed,,Valley Financial Group Ltd.,2011,both,5685,2651
"1st State Financial, Ltd._Y-6_2011-12-31_English_4788930_4",passed,,Valley Financial Group Ltd.,2011,both,5690,2656
"1st United Bancorp, Inc._Y-6_2011-12-31_English_6802886_2",passed,,"1st United Bancorp, Inc",2011,both,10919,1891
"1st United Bancorp, Inc._Y-6_2011-12-31_English_6802886_4",passed,,"1st United Bancorp, Inc",2011,both,10875,1891
2011 TCRT_Y-6_2015-12-31_English_156126456,passed,,2011 TCRT,2015,both,22891,1800
2011 TCRT_Y-6_2015-12-31_English_156126456_2,passed,,2011 TCRT,2015,both,20790,1829
2011 TCRT_Y-6_2016-12-31_English_79423904_2,passed,,2011 TCRT,2016,both,11865,1841
2011 TCRT_Y-6_2016-12-31_English_79423904_4,passed,,2011 TCRT,2016,both,11480,2178
2011 TCRT_Y-6_2018-12-31_English_154087099_2,passed,,2011 TCRT,2018,both,22204,2898
2011 TCRT_Y-6_2018-12-31_English_154087099_4,passed,,2011 TCRT,2018,both,22450,2938
2011 TCRT_Y-6_2019-12-31_English_153617675_2,passed,,2011 TCRT,2019,both,19214,4273
2011 TCRT_Y-6_2019-12-31_English_153617675_4,failed,Invalid \escape: line 184 column 43 (char 4202),,,,,
2011 TCRT_Y-6_2020-12-31_English_177090861,passed,,2011 TCRT,2020,both,23272,4265
2011 TCRT_Y-6_2020-12-31_English_177090861_2,passed,,2011 TCRT,2020,both,34705,4359
2011 TCRT_Y-6_2023-12-31_English_241409811_1,passed,,MECHANICS BANK,2023,both,57685,748
2011 TCRT_Y-6_2023-12-31_English_241409811_2,passed,,2011 TCRT,2023,both,69513,748
"3MV Bancorp, Inc._Y-6_2011-12-31_English_6911071_2",passed,,"3MV BANCORP, INC.",2011,both,28853,2095
"3MV Bancorp, Inc._Y-6_2011-12-31_English_6911071_4",passed,,"3MV BANCORP, INC.",2011,both,27691,1837
473 Broadway Holding Corporation_Y-6_2011-12-31_English_6657217_2,passed,,The Adirondack Trust Company Employee Stock Ownership Trust,2011,both,5089,721
473 Broadway Holding Corporation_Y-6_2011-12-31_English_6657217_4,failed,"504 Gateway Timeout. {'message': '<html>\r\n<head><title>504 Gateway Time-out</title></head>\r\n<body>\r\n<center><h1>504 Gateway Time-out</h1></center>\r\n</body>\r\n</html>\r\n', 'status': 'Gateway Timeout'}",,,,,
A. F. Gilmore Company_Y-6_2011-12-31_English_4752983_2,passed,,A.F. Gilmore Company,2011,both,8292,2190
A. F. Gilmore Company_Y-6_2011-12-31_English_4752983_4,passed,,A.F. Gilmore Company,2011,both,18199,2200
"A. M. Saylor, Incorporated_Y-6_2011-12-31_English_4847005_2",passed,,"A.M. Savlor, Incorporated",2011,both,6597,1103
"A. M. Saylor, Incorporated_Y-6_2011-12-31_English_4847005_4",passed,,"A.M. Savlor, Incorporated",2011,both,6075,1099
A. Wilbert's Sons Lumber and Shingle Company_Y-6_2011-12-31_English_7030068_2,passed,,A. Wilbert's Sons Lumber & Shingle Co.,2011,both,3034,1669
A. Wilbert's Sons Lumber and Shingle Company_Y-6_2011-12-31_English_7030068_4,passed,,A. Wilbert's Sons Lumber & Shingle Co.,2011,both,3073,1714
"A.N.B. Holding Company, Ltd._Y-6_2011-12-31_English_6926099_2",failed,"Expecting ',' delimiter: line 680 column 6 (char 22956)",,,,,
"A.N.B. Holding Company, Ltd._Y-6_2011-12-31_English_6926099_4",failed,"Expecting ',' delimiter: line 680 column 6 (char 22957)",,,,,
"ABB Financial Group, Inc._Y-6_2011-12-31_English_7030088_2",passed,,"RBS Financial Group, Inc.",2011,securities,15702,385
"ABB Financial Group, Inc._Y-6_2011-12-31_English_7030088_4",passed,,"RBS Financial Group, Inc.",2011,both,15942,512
"ABCT Holdings, Inc._Y-6_2011-12-31_English_6845353_2",passed,,"ABCT HOLDINGS, INC.",2011,both,3380,1412
"ABCT Holdings, Inc._Y-6_2011-12-31_English_6845353_4",passed,,"ABCT HOLDINGS, INC.",2011,both,3380,1421
"ABDO Investments, Inc._Y-6_2011-12-31_English_6779031_2",passed,,"Abdo Investment, Inc.",2011,both,6440,2569
"ABDO Investments, Inc._Y-6_2011-12-31_English_6779031_4",passed,,"Abdo Investment, Inc.",2011,both,6440,2417
ABM Holding Company_Y-6_2011-12-31_English_6745753_2,passed,,ABM HOLDING COMPANY,2011,both,4898,1416
ABM Holding Company_Y-6_2011-12-31_English_6745753_4,failed,Invalid \escape: line 86 column 24 (char 1977),,,,,
