file,status,error,bank_name,year,presence,tokens,out_tokens
1867 Western Financial Corporation_Y-6_2000-12-31_English_11329002,passed,,1867 Western Financial Corporation,2000,securities,1574,152
1867 Western Financial Corporation_Y-6_2000-12-31_English_11329002_2,passed,,1867 Western Financial Corporation,2000,none,1572,73
"1889 Bancshares, Inc._Y-6_2000-12-31_English_11294151",passed,,"1889 Bancshares, Inc.",2000,both,10058,1339
"1889 Bancshares, Inc._Y-6_2000-12-31_English_11294151_2",passed,,"1889 Bancshares, Inc.",2000,both,10058,1370
"1ST SUMMIT BANCORP of Johnstown, Inc._Y-6_2000-12-31_English_11291472",passed,,"1ST SUMMIT BANCORP OF JOHNSTOWN, INC.",2000,both,3517,1411
"1ST SUMMIT BANCORP of Johnstown, Inc._Y-6_2000-12-31_English_11291472_2",passed,,"1ST SUMMIT BANCORP OF JOHNSTOWN, INC.",2000,both,3511,1468
"1st Brookfield, Incorporated ESOP_Y-6_2000-12-31_English_11295864",passed,,"1st Brookfield, Inc.",2000,insiders,2909,199
"1st Brookfield, Incorporated ESOP_Y-6_2000-12-31_English_11295864_2",passed,,"1st Brookfield, Inc.",2000,securities,3124,412
1st Centennial Bancorp._Y-6_2000-12-31_English_11332078,passed,,Centennial First Financial Services,2000,both,3257,2172
1st Centennial Bancorp._Y-6_2000-12-31_English_11332078_2,passed,,Centennial First Financial Services,2000,both,3237,2206
"1st Jackson Bancshares, Inc._Y-6_2000-12-31_English_11352688",passed,,"First Jackson Bancshares, Inc.",2000,both,2710,1581
"1st Jackson Bancshares, Inc._Y-6_2000-12-31_English_11352688_2",passed,,"First Jackson Bancshares, Inc.",2000,both,2710,1550
1st Source Corporation_Y-6_2000-12-31_English_11333221,passed,,1ST SOURCE CORPORATION,2000,both,7865,3754
1st Source Corporation_Y-6_2000-12-31_English_11333221_2,passed,,1ST SOURCE CORPORATION,2000,both,7863,3751
"1st State Bancorp, Inc._Y-6_2000-09-30_English_11333293",passed,,"1ST STATE Bank Foundation, Inc.",2000,both,4663,2860
"1st State Bancorp, Inc._Y-6_2000-09-30_English_11333293_2",passed,,"1ST STATE Bank Foundation, Inc.",2000,both,4663,2865
"1st United Bancorp, Inc._Y-6_2000-12-31_English_11300055",passed,,"Advantage Bankshares, Inc.",2000,both,2712,1616
"1st United Bancorp, Inc._Y-6_2000-12-31_English_11300055_2",passed,,"Advantage Bankshares, Inc.",2000,both,2601,1622
"1st United Bancorporation, Inc._Y-6_2000-12-31_English_11309465",passed,,"1st United Bancorporation, Inc.",2000,both,3002,1257
"1st United Bancorporation, Inc._Y-6_2000-12-31_English_11309465_2",passed,,"1st United Bancorporation, Inc.",2000,both,3002,1257
215 Holding Co._Y-6_2000-12-31_English_11316526,passed,,215 Holding Co.,2000,both,4405,1761
215 Holding Co._Y-6_2000-12-31_English_11316526_2,passed,,215 Holding Co.,2000,both,4399,1590
304 Corporation_Y-6_2000-12-31_English_11320448,passed,,304 Corporation,2000,both,2994,1246
304 Corporation_Y-6_2000-12-31_English_11320448_2,passed,,MID-CITY BANK,2000,both,2994,1248
"A. E. Bancorp, Inc._Y-6_2000-12-31_English_11293215",passed,,"A.E. BANCORP, INC.",2000,both,4119,1079
"A. E. Bancorp, Inc._Y-6_2000-12-31_English_11293215_2",passed,,"A.E. BANCORP, INC.",2000,both,4119,1048
"A. M. Saylor, Incorporated_Y-6_2000-12-31_English_11333191",passed,,"A. M. SAYLOR, INCORPORATED",2000,both,2733,934
"A. M. Saylor, Incorporated_Y-6_2000-12-31_English_11333191_2",passed,,"A. M. SAYLOR, INCORPORATED",2000,both,2727,929
"A.N.B. Holding Company, Ltd._Y-6_2000-12-31_English_11288394",passed,,"The A.N.B. Holding Company, Ltd.",2000,both,13151,2561
"A.N.B. Holding Company, Ltd._Y-6_2000-12-31_English_11288394_2",passed,,"The A.N.B. Holding Company, Ltd.",2000,both,13065,2557
ABC Employee Stock Ownership Plan (ESOP)_Y-6_2000-12-31_English_11338349,passed,,"ANCHOR BANCORPORATION, INC.",2000,both,2398,486
ABC Employee Stock Ownership Plan (ESOP)_Y-6_2000-12-31_English_11338349_2,passed,,"ANCHOR BANCORPORATION, INC.",2000,both,2386,498
"ABS Investors, LLC_Y-6_2000-12-31_English_11352715",passed,,ABS Investors LLC,2000,both,4159,2301
"ABS Investors, LLC_Y-6_2000-12-31_English_11352715_2",passed,,ABS Investors LLC,2000,both,4314,2018
"AC Bancorp, Inc._Y-6_2000-12-31_English_11296113",passed,,"ATHENS BANCORP, INC.",2000,both,2667,1298
"AC Bancorp, Inc._Y-6_2000-12-31_English_11296113_2",passed,,"ATHENS BANCORP, INC.",2000,both,2667,1359
ACNB Corporation_Y-6_2000-12-31_English_11291475,passed,,ACNB Corporation,2000,insiders,3222,2081
ACNB Corporation_Y-6_2000-12-31_English_11291475_2,passed,,ACNB Corporation,2000,insiders,3222,2114
"ACRU, Inc._Y-6_2000-12-31_English_11352993",passed,,"FIRST CHEROKEE BANCSHARES, INC.",2000,both,14059,2569
"ACRU, Inc._Y-6_2000-12-31_English_11352993_2",passed,,"FIRST CHEROKEE BANCSHARES, INC.",2000,both,17717,2356
"AEA Bancshares, Inc._Y-6_2000-12-31_English_11329001(1)",passed,,"AEA Bancshares, Inc.",2000,both,3427,2177
"AEA Bancshares, Inc._Y-6_2000-12-31_English_11329001",passed,,"AEA Bancshares, Inc.",2000,both,3434,2213
"AEA Bancshares, Inc._Y-6_2000-12-31_English_11329001_2(1)",passed,,"AEA Bancshares, Inc.",2000,both,3434,2213
"AEA Bancshares, Inc._Y-6_2000-12-31_English_11329001_2",passed,,"AEA Bancshares, Inc.",2000,both,3440,2211
"AJJ Bancorp, Inc._Y-6_2000-12-31_English_11338396",passed,,"AJJ BANCORP, INC.",2000,both,2667,555
"AJJ Bancorp, Inc._Y-6_2000-12-31_English_11338396_2",passed,,"AJJ BANCORP, INC.",2000,both,2667,555
"AMCORE Financial, Inc._Y-6_2000-12-31_English_11330833",passed,,"AMCORE FINANCIAL, INC.",2000,insiders,4783,3786
"AMCORE Financial, Inc._Y-6_2000-12-31_English_11330833_2",passed,,"AMCORE FINANCIAL, INC.",2000,insiders,4789,3786
"ANB Bancshares, Inc._Y-6_2000-12-31_English_11288387",passed,,"ANB Bancshares, Inc.",2000,both,3389,2053
"ANB Bancshares, Inc._Y-6_2000-12-31_English_11288387_2",passed,,"ANB Bancshares, Inc.",2000,both,3389,2129
ANB Financial Corporation_Y-6_2000-12-31_English_11288388,passed,,ANB FINANCIAL CORPORATION,2000,both,8360,2988
ANB Financial Corporation_Y-6_2000-12-31_English_11288388_2,passed,,ANB FINANCIAL CORPORATION,2000,both,7565,3117
"APM Bancorp, Inc._Y-6_2000-12-31_English_11337724(1)",failed,Invalid \escape: line 93 column 90 (char 2360),,,,,
"APM Bancorp, Inc._Y-6_2000-12-31_English_11337724",failed,Invalid \escape: line 93 column 90 (char 2360),,,,,
"APM Bancorp, Inc._Y-6_2000-12-31_English_11337724_2(1)",passed,,"APM BANCORP, INC.",2000,both,2738,1358
"APM Bancorp, Inc._Y-6_2000-12-31_English_11337724_2",passed,,"APM BANCORP, INC.",2000,both,2738,1358
AREA Bancshares Corporation_Y-6_2000-12-31_English_11358707,failed,Invalid \escape: line 192 column 59 (char 7284),,,,,
AREA Bancshares Corporation_Y-6_2000-12-31_English_11358707_2,failed,"503 UNAVAILABLE. {'error': {'code': 503, 'message': 'The model is overloaded. Please try again later.', 'status': 'UNAVAILABLE'}, 'modelVersion': 'gemini-2.0-flash'}",,,,,
ASB Bank Holding Company_Y-6_2000-12-31_English_11310648,passed,,ASB Bank Holding Company,2000,both,3482,1356
ASB Bank Holding Company_Y-6_2000-12-31_English_11310648_2,passed,,ASB Bank Holding Company,2000,both,3482,1365
ASB Corporation_Y-6_2000-12-31_English_11303689,passed,,ASB CORPORATION,2000,securities,7687,335
ASB Corporation_Y-6_2000-12-31_English_11303689_2,passed,,ASB CORPORATION,2000,securities,7153,335
ATBancorp_Y-6_2000-12-31_English_11334608,passed,,"AMTRUST, INC.",2000,both,4411,2319
ATBancorp_Y-6_2000-12-31_English_11334608_2,passed,,"AMTRUST, INC.",2000,both,4411,2321
Abbeville Capital Corporation_Y-6_2000-12-31_English_11289720,passed,,Abbeville Capital Corporation,2000,both,2820,1655
Abbeville Capital Corporation_Y-6_2000-12-31_English_11289720_2,passed,,Abbeville Capital Corporation,2000,both,2820,1655
"Abigail Adams National Bancorp, Inc._Y-6_2000-12-31_English_11290312",passed,,Abigail Adams National Bancorp,2000,both,5365,2199
"Abigail Adams National Bancorp, Inc._Y-6_2000-12-31_English_11290312_2",passed,,Abigail Adams National Bancorp,2000,both,5456,2461
Abington Bancorp Inc._Y-6_2000-12-31_English_11360756,passed,,"ABINGTON BANCORP, INC",2000,both,7965,2638
Abington Bancorp Inc._Y-6_2000-12-31_English_11360756_2,passed,,"ABINGTON BANCORP, INC",2000,both,7965,2567
"Absarokee Bancorporation, Inc._Y-6_2000-09-30_English_11352636",passed,,"Absarokee Bancorporation, Inc.",2000,both,4157,2117
"Absarokee Bancorporation, Inc._Y-6_2000-09-30_English_11352636_2",passed,,"Absarokee Bancorporation, Inc.",2000,both,4132,2106
Absecon Bancorp_Y-6_2000-12-31_English_11291473,passed,,Absecon Bancorp,2000,insiders,2624,1390
Absecon Bancorp_Y-6_2000-12-31_English_11291473_2,passed,,Absecon Bancorp,2000,insiders,2649,1440
"Acadiana Bancshares, Inc._Y-6_2000-12-31_English_11352705",passed,,"ACADIANA BANCSHARES, INC.",2000,both,5380,2930
"Acadiana Bancshares, Inc._Y-6_2000-12-31_English_11352705_2",passed,,"ACADIANA BANCSHARES, INC.",2000,both,5419,5463
"Access Bancshares, Inc._Y-6_2000-12-31_English_11309511",failed,"504 Gateway Timeout. {'message': '<html>\r\n<head><title>504 Gateway Time-out</title></head>\r\n<body>\r\n<center><h1>504 Gateway Time-out</h1></center>\r\n</body>\r\n</html>\r\n', 'status': 'Gateway Timeout'}",,,,,
"Access Bancshares, Inc._Y-6_2000-12-31_English_11309511_2",passed,,"L & M Bancshares, Inc.",2000,both,2846,547
"Adair Insurance Agency, Inc._Y-6_2000-12-31_English_11333136(1)",passed,,"ADAIR INSURANCE AGENCY, INC.",2000,both,2216,1054
"Adair Insurance Agency, Inc._Y-6_2000-12-31_English_11333136",passed,,"ADAIR INSURANCE AGENCY, INC.",2000,both,2242,1053
"Adair Insurance Agency, Inc._Y-6_2000-12-31_English_11333136_2(1)",passed,,"ADAIR INSURANCE AGENCY, INC.",2000,both,2242,1040
"Adair Insurance Agency, Inc._Y-6_2000-12-31_English_11333136_2",passed,,"ADAIR INSURANCE AGENCY, INC.",2000,both,2241,1053
"Adbanc, Inc._Y-6_2000-12-31_English_11317954",passed,,"ADDANC, INC.",2000,both,3542,1432
"Adbanc, Inc._Y-6_2000-12-31_English_11317954_2",passed,,"ADDANC, INC.",2000,both,3542,1442
"Admiral Family Banks, Inc._Y-6_2000-12-31_English_11329398",passed,,"Admiral Family Banks, Inc.",2000,both,3061,796
"Admiral Family Banks, Inc._Y-6_2000-12-31_English_11329398_2",passed,,"Admiral Family Banks, Inc.",2000,both,3061,796
"Admiralty Bancorp, Inc._Y-6_2000-12-31_English_11300082(1)",passed,,"ADMIRALTY BANCORP, INC.",2000,both,11159,3678
"Admiralty Bancorp, Inc._Y-6_2000-12-31_English_11300082",passed,,"ADMIRALTY BANCORP, INC.",2000,both,31625,2592
"Admiralty Bancorp, Inc._Y-6_2000-12-31_English_11300082_2(1)",passed,,"ADMIRALTY BANCORP, INC.",2000,both,20100,2914
"Admiralty Bancorp, Inc._Y-6_2000-12-31_English_11300082_2",passed,,"ADMIRALTY BANCORP, INC.",2000,both,19464,2892
"Admire Bancshares, Inc._Y-6_2000-12-31_English_11303697",passed,,"ADMIRE BANCSHARES, INC.",2000,both,6306,1110
"Admire Bancshares, Inc._Y-6_2000-12-31_English_11303697_2",passed,,"ADMIRE BANCSHARES, INC.",2000,both,6310,1167
"Adrian Bancshares, Inc._Y-6_2000-12-31_English_11299084",passed,,"ADRIAN BANCSHARES, INC.",2000,both,4741,1841
"Adrian Bancshares, Inc._Y-6_2000-12-31_English_11299084_2",passed,,"ADRIAN BANCSHARES, INC.",2000,both,4727,1854
Adrian Building Corporation_Y-6_2000-12-31_English_11351232,passed,,Adrian Building Corporation,2000,both,2330,760
Adrian Building Corporation_Y-6_2000-12-31_English_11351232_2,passed,,Adrian Building Corporation,2000,both,2303,757
"Advance Bancorp, Inc._Y-6_2000-12-31_English_11334626",passed,,"ADVANCE BANCORP, INC.",2000,both,3066,2441
"Advance Bancorp, Inc._Y-6_2000-12-31_English_11334626_2",passed,,"ADVANCE BANCORP, INC.",2000,both,3087,2429
Agricultural Banking Corporation_Y-6_2000-12-31_English_11296046,passed,,Agricultural Banking Corporation,2000,both,3597,2156
Agricultural Banking Corporation_Y-6_2000-12-31_English_11296046_2,passed,,Agricultural Banking Corporation,2000,both,3576,2128
Alabama National BanCorporation_Y-6_2000-12-31_English_11351423,passed,,Alabama National Bank Corporation,1999,both,17109,2493
Alabama National BanCorporation_Y-6_2000-12-31_English_11351423_2,passed,,Alabama National Bank Corporation,1999,both,29088,2488
Alamo Corporation of Texas_Y-6_2000-12-31_English_11293357,passed,,Alamo Corporation of Texas,2000,both,6945,3304
Alamo Corporation of Texas_Y-6_2000-12-31_English_11293357_2,passed,,Alamo Corporation of Texas,2000,both,6946,3590
"Alamosa Bancorporation, Ltd._Y-6_2000-12-31_English_11299124",passed,,"Alamosa Bancorporation, Ltd.",2000,both,3988,1449
"Alamosa Bancorporation, Ltd._Y-6_2000-12-31_English_11299124_2",passed,,"Alamosa Bancorporation, Ltd.",2000,both,4083,1427
Albank Corporation_Y-6_2000-12-31_English_11330844,passed,,ALBANK CORPORATION,2000,both,7850,2792
Albank Corporation_Y-6_2000-12-31_English_11330844_2,passed,,ALBANK CORPORATION,2000,both,7897,2824
"Albany Bancorp, Inc._Y-6_2000-12-31_English_11359774",passed,,"Albany Bancorp, Inc.",2000,both,26655,1398
"Albany Bancorp, Inc._Y-6_2000-12-31_English_11359774_2",passed,,"Albany Bancorp, Inc.",2000,both,25814,1422
"Albany Bancshares, Inc._Y-6_2000-12-31_English_11288396",failed,Invalid \escape: line 111 column 55 (char 3262),,,,,
"Albany Bancshares, Inc._Y-6_2000-12-31_English_11288396_2",passed,,"ALBANY BANCSHARES, INC.",2000,both,4433,3557
"Albany Bancshares, Inc._Y-6_2000-12-31_English_11332627",passed,,"ALBANY BANCSHARES, INC.",2000,both,3125,1072
"Albany Bancshares, Inc._Y-6_2000-12-31_English_11332627_2",passed,,"ALBANY BANCSHARES, INC.",2000,both,3125,1072
"Albrecht Financial Services, Inc._Y-6_2000-12-31_English_11338344",passed,,"Albrecht Financial Services, Inc.",2000,both,2642,1182
"Albrecht Financial Services, Inc._Y-6_2000-12-31_English_11338344_2",passed,,"ALBRECHT FINANCIAL SERVICES, INC.",2000,both,2632,1187
"Alden Bancshares, Inc._Y-6_2000-12-31_English_11329008",passed,,"ALDEN BANCSHARES, INC.",2000,both,6928,1297
"Alden Bancshares, Inc._Y-6_2000-12-31_English_11329008_2",passed,,"ALDEN BANCSHARES, INC.",2000,both,6909,975
Alerus Financial Corporation_Y-6_2000-12-31_English_11309520,passed,,ALERUS FINANCIAL CORPORATION,2000,both,4212,2181
Alerus Financial Corporation_Y-6_2000-12-31_English_11309520_2,passed,,ALERUS FINANCIAL CORPORATION,2000,both,4395,2365
"Alfalfa County Bancshares, Inc._Y-6_2000-12-31_English_11317955",passed,,"ALFALFA COUNTY BANCSHARES, INC.",2000,both,10493,2466
"Alfalfa County Bancshares, Inc._Y-6_2000-12-31_English_11317955_2",passed,,"ALFALFA COUNTY BANCSHARES, INC.",2000,both,10494,2466
"AliKat Investments, Inc._Y-6_2000-12-31_English_11293417",passed,,Al. Kat Investment Inc.,2000,both,2636,1607
