file,status,error,bank_name,year,presence,tokens,out_tokens
1ST_JACKSON_BSHRS_2306993_2015,passed,,"1st Jackson Bancshares, Inc.",2015,both,4260,1815
1ST_JACKSON_BSHRS_2306993_2016,passed,,"1st Jackson Bancshares, Inc.",2016,both,4258,1756
1ST_JACKSON_BSHRS_2306993_2017,passed,,"1st Jackson Bancshares, Inc.",2017,both,5520,1763
1ST_JACKSON_BSHRS_2306993_2018,passed,,"1st Jackson Bancshares, Inc.",2018,both,12821,1817
1ST_JACKSON_BSHRS_2306993_2019,passed,,"1st Jackson Bancshares, Inc.",2019,both,14437,2136
1ST_JACKSON_BSHRS_2306993_2020,passed,,"1st Jackson Bancshares, Inc.",2020,both,15621,2091
1ST_JACKSON_BSHRS_2306993_2021,passed,,"1st Jackson Bancshares, Inc.",2021,both,15359,2042
1ST_JACKSON_BSHRS_2306993_2022,passed,,First Jackson Bank,2022,both,12320,2046
1ST_JACKSON_BSHRS_2306993_2023,passed,,"1st Jackson Bancshares, Inc.",2023,both,14042,1959
1st_JACKSON_BSHRS_2306993_2014,passed,,"1st Jackson Bancshares, Inc.",2014,both,4161,1804
ABB_FNCL_GRP_3118456_2014,passed,,"ABB Financial Group, Inc.",2014,both,70552,1604
ABB_FNCL_GRP_3118456_2015,passed,,AFFINITY BANK,2015,both,72750,1528
ABB_FNCL_GRP_3118456_2016,passed,,"ABB Financial Group, Inc.",2016,both,85710,1570
ABB_FNCL_GRP_3118456_2017,passed,,"ABB Financial Group, Inc.",2017,both,63644,1483
ABB_FNCL_GRP_3118456_2018,passed,,"ABB FINANCIAL GROUP, INC.",2018,both,83509,1838
ABB_FNCL_GRP_3118456_2019,passed,,"ABB Financial Group, Inc.",2019,both,63497,1922
ABH_BC_INC_3814703_2014,passed,,"ABH Bancorp, Inc.",2014,both,13313,1824
ABH_BC_INC_3814703_2015,passed,,"ABH Bancorp, Inc.",2015,both,58245,1728
AFFINITY_BSHRS_5535301_2021,passed,,"Affinity Bancshares, Inc.",2021,both,14014,1579
AFFINITY_BSHRS_5535301_2022,passed,,"Affinity Bancshares, Inc.",2022,both,3425,1552
AFFINITY_BSHRS_5535301_2023,passed,,"Affinity Bancshares, Inc.",2023,both,15761,1865
ALAMERICA_BC_3047583_2015,passed,,"Alamerica BancCorp, Inc.",2015,both,12587,1592
ALAMERICA_BC_3047583_2016,passed,,"Alamerica BancCorp, Inc.",2016,both,35614,1784
ALAMERICA_BC_3047583_2017,passed,,"Alamerica BancCorp, Inc.",2017,both,63308,1825
ALAMERICA_BC_3047583_2018,passed,,"Alamerica BancCorp, Inc.",2018,both,56051,1599
ALAMERICA_BC_3047583_2019,failed,"504 Gateway Timeout. {'message': '<html>\r\n<head><title>504 Gateway Time-out</title></head>\r\n<body>\r\n<center><h1>504 Gateway Time-out</h1></center>\r\n</body>\r\n</html>\r\n', 'status': 'Gateway Timeout'}",,,,,
ALAMERICA_BC_3047583_2020,passed,,"Alamerica BancCorp, Inc.",2020,both,50939,1469
ALAMERICA_BC_3047583_2021,passed,,"Alamerica BancCorp, Inc.",2021,both,55990,1477
ALAPAHA_HC_3194076_2015,failed,Invalid \escape: line 24 column 51 (char 538),,,,,
ALAPAHA_HC_3194076_2016,failed,Invalid \escape: line 24 column 51 (char 538),,,,,
ALAPAHA_HC_3194076_2017,passed,,ALAPAHA HOLDING COMPANY,2017,both,9803,1816
ALAPAHA_HC_3194076_2018,passed,,ALAPAHA HOLDING COMPANY,2018,both,12096,1951
ALAPAHA_HC_3194076_2019,passed,,Alapaha Holding Company,2019,both,3693,1750
ALAPAHA_HC_3194076_2020,passed,,ALAPAHA HOLDING COMPANY,2020,insiders,4051,1523
ALAPAHA_HC_3194076_2021,passed,,ALAPAHA HOLDING COMPANY,2021,insiders,14482,1664
ALAPAHA_HC_3194076_2022,passed,,ALAPAHA HOLDING COMPANY,2022,insiders,11451,2064
ALAPAHA_HC_3194076_2023,passed,,Unknown,Unknown,insiders,11446,2233
ALBERT_J_ORTTE_FAMILY_LP_2699583_2014,passed,,ALBERT J. ORTTE FAMILY LIMITED PARTNERSHIP,2014,both,5620,3416
ALFA_MUTUAL_INS_CO_3846263_2014,passed,,Alfa Mutual Insurance Company,2014,both,301297,3801
ALFA_MUTUAL_INS_CO_3846263_2015,passed,,Alfa Mutual Insurance Company,2015,both,62161,3993
ALFA_MUTUAL_INS_CO_3846263_2016,passed,,Alfa Mutual Fire Insurance Company,2016,both,125479,3501
ALFA_MUTUAL_INS_CO_3846263_2017,passed,,Alfa Mutual Insurance Company,2017,both,153836,6165
ALTAMAHA_BSHRS_INC_1081510_2014,passed,,"Altamaha Bancshares, Inc.",2014,both,4105,1713
ALTAMAHA_BSHRS_INC_1081510_2015,passed,,"ALTAMAHA BANCSHARES, INC.",2015,both,12167,1744
