file,status,error,bank_name,year,presence,tokens,out_tokens
2012-waterford-commercial--savings-bank-shareholder-voting-trust-waterford-oh-4452401,passed,,2012 Waterford Commercial & Savings Bank Shareholders Voting Trust,2022,both,6125,5935
2012-waterford-commercial--savings-bank-shareholders-voting-trust-waterford-oh-4452401,passed,,2012 Waterford Commercial and Savings Bank Shareholder Voting Trust,2020,both,3653,1280
2012-waterford-commercial-and-savings-bank-shareholders-voting-trust-waterford-oh-4452401,passed,,2012 Waterford Commercial & Savings Bank Shareholders Voting Trust,2016,both,4468,667
2012-waterford-commercial-and-savings-bank-sharholders-voting-trust-waterford-oh--4452401,passed,,2012 Waterford Commercial and Savings Bank Legal Title of Holding Company Shareholders Voting Trust,2013,both,3194,648
2012-waterford-commercial-and-savings-bank-sharholders-voting-trust-waterford-oh-4452401,passed,,2012 Waterford Commercial & Savings Bank Shareholders Voting Trust,2017,both,3950,644
2012-waterford-commercial-and-savings-bank-waterford-oh--4452401,passed,,2012 Waterford Commercial and Savings Bank Shareholder,2014,both,12549,642
abs-financial-corp-portsmouth-oh--2506784,passed,,ASB FINANCIAL CORP.,2013,both,82693,1624
abs-financial-corporation-portsmouth-oh--2506784,passed,,ASB Financial Corporation,2015,both,78324,2260
allegheny-valley-bancorp-inc-pittsburgh-pa--1247419,passed,,"Allegheny Valley Bancorp, Inc.",2014,both,4849,1569
allegheny-valley-bancorp-inc-pittsburgh-pa-1247419,passed,,"Allegheny Valley Bancorp, INC",2016,both,3848,1560
allegheny-valley-bancorp-pittsburgh-pa--1247419,passed,,"Allegheny Valley Bancorp, Inc.",2015,both,14440,1716
allegheny-valley-bancorp-pittsburgh-pa-1247419,passed,,"Allegheny Valley Bancorp, Inc.",2013,both,12817,1574
andover-bancorp-inc-1071913,passed,,"Andover Bancorp, Inc.",2013,both,3781,1303
andover-bancorp-inc-andover-oh--1071913,passed,,"Andover Bancorp, Inc.",2014,both,4202,1464
