file,status,error,bank_name,year,presence,tokens,out_tokens
1073757_20191231,failed,"504 Gateway Timeout. {'message': '<html>\r\n<head><title>504 Gateway Time-out</title></head>\r\n<body>\r\n<center><h1>504 Gateway Time-out</h1></center>\r\n</body>\r\n</html>\r\n', 'status': 'Gateway Timeout'}",,,,,
1073757_20201231,failed,"400 INVALID_ARGUMENT. {'error': {'code': 400, 'message': 'The input token count (3553194) exceeds the maximum number of tokens allowed (1048575).', 'status': 'INVALID_ARGUMENT'}, 'modelVersion': 'gemini-2.0-flash'}",,,,,
1073757_20211231,failed,"400 INVALID_ARGUMENT. {'error': {'code': 400, 'message': 'The input token count (3516849) exceeds the maximum number of tokens allowed (1048575).', 'status': 'INVALID_ARGUMENT'}, 'modelVersion': 'gemini-2.0-flash'}",,,,,
1073757_20221231,failed,"429 RESOURCE_EXHAUSTED. {'error': {'code': 429, 'message': 'You exceeded your current quota, please check your plan and billing details. For more information on this error, head to: https://ai.google.dev/gemini-api/docs/rate-limits.', 'status': 'RESOURCE_EXHAUSTED', 'details': [{'@type': 'type.googleapis.com/google.rpc.QuotaFailure', 'violations': [{'quotaMetric': 'generativelanguage.googleapis.com/generate_content_paid_tier_input_token_count', 'quotaId': 'GenerateContentPaidTierInputTokensPerModelPerMinute', 'quotaDimensions': {'location': 'global', 'model': 'gemini-2.0-flash'}, 'quotaValue': '4000000'}]}, {'@type': 'type.googleapis.com/google.rpc.Help', 'links': [{'description': 'Learn more about Gemini API quotas', 'url': 'https://ai.google.dev/gemini-api/docs/rate-limits'}]}, {'@type': 'type.googleapis.com/google.rpc.RetryInfo', 'retryDelay': '56s'}]}, 'modelVersion': 'gemini-2.0-flash'}",,,,,
1073757_20231231,failed,"429 RESOURCE_EXHAUSTED. {'error': {'code': 429, 'message': 'You exceeded your current quota, please check your plan and billing details. For more information on this error, head to: https://ai.google.dev/gemini-api/docs/rate-limits.', 'status': 'RESOURCE_EXHAUSTED', 'details': [{'@type': 'type.googleapis.com/google.rpc.QuotaFailure', 'violations': [{'quotaMetric': 'generativelanguage.googleapis.com/generate_content_paid_tier_input_token_count', 'quotaId': 'GenerateContentPaidTierInputTokensPerModelPerMinute', 'quotaDimensions': {'location': 'global', 'model': 'gemini-2.0-flash'}, 'quotaValue': '4000000'}]}, {'@type': 'type.googleapis.com/google.rpc.Help', 'links': [{'description': 'Learn more about Gemini API quotas', 'url': 'https://ai.google.dev/gemini-api/docs/rate-limits'}]}, {'@type': 'type.googleapis.com/google.rpc.RetryInfo', 'retryDelay': '55s'}]}, 'modelVersion': 'gemini-2.0-flash'}",,,,,
1074156_20191231,passed,,Truist Financial Corporation,2019,both,238056,6340
1074156_20201231,passed,,Truist Financial Corporation,2020,both,283187,6354
1074156_20211231,passed,,Truist Financial Corporation,2021,both,230471,6157
1074156_20221231,passed,,Truist Financial Corporation,2022,both,203083,4666
1074156_20231231,passed,,Truist Financial Corporation,2023,both,228114,3983
1075612_20191231,passed,,"First Citizens BancShares, Inc.",2019,both,219276,5916
1075612_20201231,failed,"Expecting ',' delimiter: line 829 column 6 (char 20782)",,,,,
1075612_20211231,passed,,"First Citizens Bancshares, Inc.",2021,both,226203,6557
1075612_20221231,passed,,"First Citizens Bancshares, Inc",2022,both,37149,7094
1075612_20231231,passed,,"First Citizens Bancshares, Inc",2023,both,72232,7450
1075694_20191231,failed,Invalid \escape: line 170 column 65 (char 6324),,,,,
1075694_20201231,passed,,Southern BancShares (N.C.) Inc.,2020,both,734423,3778
1075694_20211231,passed,,SOUTHERN BANK AND TRUST COMPANY,2021,both,87148,5659
