file,status,error,bank_name,year,presence,tokens,out_tokens
1867 Western Financial Corporation_Y-6_2006-12-31_English_9687694,passed,,1867 Western Financial Corp,2006,insiders,4489,1829
1867 Western Financial Corporation_Y-6_2006-12-31_English_9687694_2,passed,,1867 Western Financial Corp,2006,insiders,4504,1825
"1ST SUMMIT BANCORP of Johnstown, Inc._Y-6_2006-12-31_English_9902861",passed,,"1ST SUMMIT BANCORP OF JOHNSTOWN, INC.",2007,both,4075,2643
"1ST SUMMIT BANCORP of Johnstown, Inc._Y-6_2006-12-31_English_9902861_2",passed,,"1ST SUMMIT BANCORP OF JOHNSTOWN, INC.",2007,both,4077,2220
"1st Advantage Bancshares, Inc._Y-6_2006-12-31_English_9097260",passed,,"1st Advantage Bancshares, Inc.",2006,both,6194,1059
"1st Advantage Bancshares, Inc._Y-6_2006-12-31_English_9097260_2",passed,,"1st Advantage Bancshares, Inc.",2006,both,6186,1062
1st Centennial Bancorp._Y-6_2006-12-31_English_9687692,passed,,1st Centennial Bancorp,2006,insiders,3186,2102
1st Centennial Bancorp._Y-6_2006-12-31_English_9687692_2,passed,,1st Centennial Bancorp,2006,insiders,3175,2065
"1st Choice Bancorp, Inc._Y-6_2006-12-31_English_9708892",passed,,"1ST CHOICE BANCORP, INC.",2006,both,4742,2665
"1st Choice Bancorp, Inc._Y-6_2006-12-31_English_9708892_2",passed,,"1ST CHOICE BANCORP, INC.",2006,both,4726,2642
"1st Colonial Bancorp, Inc._Y-6_2006-12-31_English_9902856",passed,,"1st Colonial Bancorp, Inc.",2006,insiders,4449,2023
"1st Colonial Bancorp, Inc._Y-6_2006-12-31_English_9902856_2",passed,,"1st Colonial Bancorp, Inc.",2006,insiders,4449,2084
1st Constitution Bancorp_Y-6_2006-12-31_English_9616499,passed,,1ST CONSTITUTION BANCORP,2006,insiders,2589,941
1st Constitution Bancorp_Y-6_2006-12-31_English_9616499_2,passed,,1ST CONSTITUTION BANCORP,2006,insiders,2564,939
"1st Independence Financial Group, Inc._Y-6_2006-12-31_English_9808364",passed,,"1st Independence Financial Group, Inc.",2006,both,4864,2333
"1st Independence Financial Group, Inc._Y-6_2006-12-31_English_9808364_2",passed,,"1st Independence Financial Group, Inc.",2006,both,4864,2516
"1st Jackson Bancshares, Inc._Y-6_2006-12-31_English_9626745",passed,,"First Jackson Bancshares, Inc.",2006,insiders,3026,1304
"1st Jackson Bancshares, Inc._Y-6_2006-12-31_English_9626745_2",passed,,"First Jackson Bancshares, Inc.",2006,insiders,3214,1264
"1st United Bancorp, Inc._Y-6_2006-12-31_English_9609180",passed,,"1st United Bancorp, Inc.",2006,insiders,2729,1547
"1st United Bancorp, Inc._Y-6_2006-12-31_English_9609180_2",passed,,"1st United Bancorp, Inc.",2006,insiders,2729,1548
"1st United Bancorporation, Inc._Y-6_2006-12-31_English_9617875",passed,,"1st United Bancorporation, Inc.",2006,both,2936,1254
"1st United Bancorporation, Inc._Y-6_2006-12-31_English_9617875_2",passed,,"1st United Bancorporation, Inc.",2006,both,2936,1254
215 Holding Co._Y-6_2006-12-31_English_9608877,passed,,215 Holding Co.,2006,both,4949,2327
215 Holding Co._Y-6_2006-12-31_English_9608877_2,passed,,215 Holding Co.,2006,both,4904,2295
304 Corporation_Y-6_2006-12-31_English_9237496,passed,,304 CORPORATION,2006,both,3326,1037
304 Corporation_Y-6_2006-12-31_English_9237496_2,passed,,304 Corp,2006,both,3327,1053
A. Wilbert's Sons Lumber and Shingle Company_Y-6_2006-12-31_English_9609184,passed,,A. Wilbert's Sons Lumber and Shingle Company,2006,insiders,2409,968
A. Wilbert's Sons Lumber and Shingle Company_Y-6_2006-12-31_English_9609184_2,passed,,A. Wilbert's Sons Lumber and Shingle Company,2006,insiders,2410,968
"A.N.B. Holding Company, Ltd._Y-6_2006-12-31_English_9712486",passed,,"The A.N.B. Holding Company,",2006,both,7752,7059
"A.N.B. Holding Company, Ltd._Y-6_2006-12-31_English_9712486_2",passed,,"The A.N.B. Holding Company,",2006,both,7755,7035
"ABB Financial Group, Inc._Y-6_2006-12-31_English_9629697",passed,,"UCR Financial Group, Inc.",2006,insiders,2365,1718
"ABB Financial Group, Inc._Y-6_2006-12-31_English_9629697_2",failed,"504 Gateway Timeout. {'message': '<html>\r\n<head><title>504 Gateway Time-out</title></head>\r\n<body>\r\n<center><h1>504 Gateway Time-out</h1></center>\r\n</body>\r\n</html>\r\n', 'status': 'Gateway Timeout'}",,,,,
"ABNA Holdings, Inc._Y-6_2006-12-31_English_9712491",passed,,"ABNA Holding, Inc.",2006,both,2409,663
"ABNA Holdings, Inc._Y-6_2006-12-31_English_9712491_2",passed,,"ABNA Holding, Inc.",2006,both,2399,641
ACNB Corporation_Y-6_2006-12-31_English_9902869,passed,,ACNB Corporation,2006,both,3496,2332
ACNB Corporation_Y-6_2006-12-31_English_9902869_2,passed,,ACNB Corporation,2006,both,3496,2282
"ACRU, Inc._Y-6_2006-12-31_English_9610825",passed,,"FIRST CHEROKEE BANCSHARES, INC.",2006,insiders,3405,2374
