file,status,error,bank_name,year,presence,tokens,out_tokens
1867 Western Financial Corporation_Y-6_2002-12-31_English_11119084,passed,,1867 Western Financial Corp,2002,both,9004,3068
1867 Western Financial Corporation_Y-6_2002-12-31_English_11119084_2,failed,Invalid \escape: line 51 column 61 (char 1570),,,,,
"1889 Bancshares, Inc._Y-6_2002-12-31_English_11126328",passed,,"1889 BANCSHARES, INC.",2002,both,12986,790
"1889 Bancshares, Inc._Y-6_2002-12-31_English_11126328_2",failed,Invalid \escape: line 42 column 45 (char 926),,,,,
"1ST SUMMIT BANCORP of Johnstown, Inc._Y-6_2002-12-31_English_11102763",passed,,"1ST SUMMIT BANCORP, INC.",2002,both,4402,2248
"1ST SUMMIT BANCORP of Johnstown, Inc._Y-6_2002-12-31_English_11102763_2",passed,,"1ST SUMMIT BANCORP, INC.",2002,both,4405,2293
"1st Brookfield, Inc._Y-6_2002-12-31_English_11045616",passed,,"1ST BROOKFIELD, INC.",2002,both,2753,1142
"1st Brookfield, Inc._Y-6_2002-12-31_English_11045616_2",passed,,"1ST BROOKFIELD, INC.",2002,both,2753,1142
1st Centennial Bancorp._Y-6_2002-12-31_English_11122694,passed,,1st CENTENNIAL BANCORP,2002,insiders,6316,2279
1st Centennial Bancorp._Y-6_2002-12-31_English_11122694_2,passed,,CENTENNIAL FIRST FINANCIAL SERVICES,2002,insiders,6625,2295
"1st Choice Bancorp, Inc._Y-6_2002-12-31_English_11074817",passed,,"1ST CHOICE BANCORP, INC.",2002,both,17325,2701
"1st Choice Bancorp, Inc._Y-6_2002-12-31_English_11074817_2",passed,,"1ST CHOICE BANCORP, INC.",2002,both,17312,2632
"1st Colonial Bancorp, Inc._Y-6_2002-12-31_English_11102764",passed,,"1st Colonial Bancorp, Inc.",2002,both,4898,1849
"1st Colonial Bancorp, Inc._Y-6_2002-12-31_English_11102764_2",passed,,"1st Colonial Bancorp, Inc.",2002,both,4898,1825
1st Constitution Bancorp_Y-6_2002-12-31_English_11143628,passed,,1ST CONSTITUTION BANCORP,2002,both,2577,1010
1st Constitution Bancorp_Y-6_2002-12-31_English_11143628_2,passed,,1ST CONSTITUTION BANCORP,2002,both,2586,1069
"1st Independence Financial Group, Inc._Y-6_2002-09-30_English_11134564",passed,,"Harrodsburg First Financial Bancorp, Inc.",2002,both,4270,1589
"1st Independence Financial Group, Inc._Y-6_2002-09-30_English_11134564_2",passed,,"Harrodsburg First Financial Bancorp, Inc.",2002,both,4246,1559
"1st Jackson Bancshares, Inc._Y-6_2002-12-31_English_11094122",passed,,"1st JACKSON BANCSHARES, INC.",2002,both,3429,1475
"1st Jackson Bancshares, Inc._Y-6_2002-12-31_English_11094122_2",passed,,"1st JACKSON BANCSHARES, INC.",2002,both,2504,1499
1st Source Corporation_Y-6_2002-12-31_English_11061210,passed,,1st Source Corporation,2003,both,12133,3862
1st Source Corporation_Y-6_2002-12-31_English_11061210_2,passed,,1st Source,2003,both,10941,3866
"1st State Bank Foundation, Inc._Y-6_2002-09-30_English_11073007",passed,,1st State Bank Foundation Inc,2002,both,3661,2778
"1st State Bank Foundation, Inc._Y-6_2002-09-30_English_11073007_2",passed,,1st State Bank Foundation Inc,2002,both,3661,2418
"1st United Bancorp, Inc._Y-6_2002-12-31_English_11080877",passed,,"Advantage Bankshares, Inc.",2002,both,3155,1976
"1st United Bancorp, Inc._Y-6_2002-12-31_English_11080877_2",passed,,"Advantage Bankshares, Inc.",2002,both,3170,1983
"1st United Bancorporation, Inc._Y-6_2002-12-31_English_11164558",passed,,"1st United Bancorporation, Inc.",2002,both,2902,1250
"1st United Bancorporation, Inc._Y-6_2002-12-31_English_11164558_2",passed,,"1st United Bancorporation, Inc.",2002,both,2902,1252
215 Holding Co._Y-6_2002-12-31_English_11164546,failed,"504 Gateway Timeout. {'message': '<html>\r\n<head><title>504 Gateway Time-out</title></head>\r\n<body>\r\n<center><h1>504 Gateway Time-out</h1></center>\r\n</body>\r\n</html>\r\n', 'status': 'Gateway Timeout'}",,,,,
215 Holding Co._Y-6_2002-12-31_English_11164546_2,failed,"504 Gateway Timeout. {'message': '<html>\r\n<head><title>504 Gateway Time-out</title></head>\r\n<body>\r\n<center><h1>504 Gateway Time-out</h1></center>\r\n</body>\r\n</html>\r\n', 'status': 'Gateway Timeout'}",,,,,
304 Corporation_Y-6_2002-12-31_English_11123560,failed,"504 Gateway Timeout. {'message': '<html>\r\n<head><title>504 Gateway Time-out</title></head>\r\n<body>\r\n<center><h1>504 Gateway Time-out</h1></center>\r\n</body>\r\n</html>\r\n', 'status': 'Gateway Timeout'}",,,,,
304 Corporation_Y-6_2002-12-31_English_11123560_2,passed,,304 Corporation,2002,both,3290,1300
