file,status,error,bank_name,year,presence,tokens,out_tokens
1867 Western Financial Corporation_Y-6_2010-12-31_English_7552643_2,failed,"504 Gateway Timeout. {'message': '<html>\r\n<head><title>504 Gateway Time-out</title></head>\r\n<body>\r\n<center><h1>504 Gateway Time-out</h1></center>\r\n</body>\r\n</html>\r\n', 'status': 'Gateway Timeout'}",,,,,
1867 Western Financial Corporation_Y-6_2010-12-31_English_7552643_2,failed,Invalid \escape: line 69 column 59 (char 1662),,,,,
1867 Western Financial Corporation_Y-6_2010-12-31_English_7552643_2,failed,Invalid \escape: line 60 column 59 (char 1494),,,,,
1867 Western Financial Corporation_Y-6_2010-12-31_English_7552643_2,passed,,1867 Western Financial Corporation,2010,both,14844,2526
1867 Western Financial Corporation_Y-6_2010-12-31_English_7552643_2,failed,Invalid \escape: line 60 column 59 (char 1494),,,,,
1867 Western Financial Corporation_Y-6_2010-12-31_English_7552643_2,passed,,1867 Western Financial Corporation,2010,both,14844,2541
1867 Western Financial Corporation_Y-6_2010-12-31_English_7552643_2,failed,Invalid \escape: line 69 column 59 (char 1563),,,,,
1867 Western Financial Corporation_Y-6_2010-12-31_English_7552643_2,failed,Invalid \escape: line 69 column 59 (char 1563),,,,,
file,status,error,bank_name,year,presence,tokens,out_tokens
1867 Western Financial Corporation_Y-6_2010-12-31_English_7552643_2,failed,Invalid \escape: line 78 column 59 (char 1802),,,,,
1867 Western Financial Corporation_Y-6_2010-12-31_English_7552643_2,failed,Invalid \escape: line 60 column 59 (char 1492),,,,,
1867 Western Financial Corporation_Y-6_2010-12-31_English_7552643_2,passed,,1867 Western Financial Corporation,2010,both,14844,2464
1867 Western Financial Corporation_Y-6_2010-12-31_English_7552643_2,failed,Invalid \escape: line 60 column 59 (char 1494),,,,,
1867 Western Financial Corporation_Y-6_2010-12-31_English_7552643_4,passed,,1867 Western Financial Corporation,2010,both,11448,2524
1867 Western Financial Corporation_Y-6_2010-12-31_English_7552643_4,failed,"504 Gateway Timeout. {'message': '<html>\r\n<head><title>504 Gateway Time-out</title></head>\r\n<body>\r\n<center><h1>504 Gateway Time-out</h1></center>\r\n</body>\r\n</html>\r\n', 'status': 'Gateway Timeout'}",,,,,
1867 Western Financial Corporation_Y-6_2010-12-31_English_7552643_4,failed,Invalid \escape: line 60 column 59 (char 1444),,,,,
1867 Western Financial Corporation_Y-6_2010-12-31_English_7552643_4,passed,,1867 Western Financial Corporation,2010,both,11448,2511
1867 Western Financial Corporation_Y-6_2010-12-31_English_7552643_4,failed,Invalid \escape: line 60 column 59 (char 1492),,,,,
1867 Western Financial Corporation_Y-6_2010-12-31_English_7552643_4,passed,,1867 Western Financial Corporation,2010,both,11448,2511
1867 Western Financial Corporation_Y-6_2010-12-31_English_7552643_4,failed,Invalid \escape: line 60 column 59 (char 1492),,,,,
1867 Western Financial Corporation_Y-6_2010-12-31_English_7552643_4,passed,,1867 Western Financial Corporation,2010,both,11448,2522
1867 Western Financial Corporation_Y-6_2010-12-31_English_7552643_2,passed,,1867 Western Financial Corporation,2010,both,14844,5894
1867 Western Financial Corporation_Y-6_2010-12-31_English_7552643_4,passed,,1867 Western Financial Corporation,2010,both,11448,2538
1867 Western Financial Corporation_Y-6_2010-12-31_English_7552643_4,failed,Invalid \escape: line 60 column 59 (char 1492),,,,,
"1889 Bancshares, Inc._Y-6_2010-12-31_English_7936410_2",passed,,"1889 BANCSHARES, INC.",2010,both,12717,1222
1867 Western Financial Corporation_Y-6_2010-12-31_English_7552643_4,passed,,1867 Western Financial Corporation,2010,both,11448,2537
1867 Western Financial Corporation_Y-6_2010-12-31_English_7552643_4,passed,,1867 Western Financial Corporation,2010,both,11448,2533
1867 Western Financial Corporation_Y-6_2010-12-31_English_7552643_2,failed,Invalid \escape: line 465 column 59 (char 9191),,,,,
"1889 Bancshares, Inc._Y-6_2010-12-31_English_7936410_2",passed,,"1889 BANCSHARES, INC.",2010,both,12717,1216
"1889 Bancshares, Inc._Y-6_2010-12-31_English_7936410_2",passed,,"1889 BANCSHARES, INC.",2010,both,12717,1228
"1889 Bancshares, Inc._Y-6_2010-12-31_English_7936410_2",passed,,"1889 BANCSHARES, INC.",2010,both,12717,1204
"1889 Bancshares, Inc._Y-6_2010-12-31_English_7936410_2",passed,,"1889 BANCSHARES, INC.",2010,both,12717,1222
"1889 Bancshares, Inc._Y-6_2010-12-31_English_7936410_2",passed,,"1889 BANCSHARES, INC.",2010,both,12717,1228
"1889 Bancshares, Inc._Y-6_2010-12-31_English_7936410_2",passed,,"1889 BANCSHARES, INC.",2010,both,12717,1222
"1889 Bancshares, Inc._Y-6_2010-12-31_English_7936410_2",passed,,"1889 BANCSHARES, INC.",2010,both,12717,1228
"1889 Bancshares, Inc._Y-6_2010-12-31_English_7936410_2",passed,,"1889 BANCSHARES, INC.",2010,both,12717,1228
"1889 Bancshares, Inc._Y-6_2010-12-31_English_7936410_2",passed,,"1889 BANCSHARES, INC.",2010,both,12717,1222
"1889 Bancshares, Inc._Y-6_2010-12-31_English_7936410_2",passed,,"1889 BANCSHARES, INC.",2010,both,12717,1228
"1889 Bancshares, Inc._Y-6_2010-12-31_English_7936410_2",passed,,"1889 BANCSHARES, INC.",2010,both,12717,1222
"1889 Bancshares, Inc._Y-6_2010-12-31_English_7936410_4",passed,,"1889 BANCSHARES, INC.",2010,both,12749,1228
"1889 Bancshares, Inc._Y-6_2010-12-31_English_7936410_4",passed,,"1889 BANCSHARES, INC.",2010,both,12749,1222
"1889 Bancshares, Inc._Y-6_2010-12-31_English_7936410_4",passed,,"1889 BANCSHARES, INC.",2010,both,12749,1222
"1889 Bancshares, Inc._Y-6_2010-12-31_English_7936410_4",passed,,"1889 BANCSHARES, INC.",2010,both,12749,1228
1867 Western Financial Corporation_Y-6_2010-12-31_English_7552643_4,passed,,1867 Western Financial Corporation,2010,both,11448,2595
"1889 Bancshares, Inc._Y-6_2010-12-31_English_7936410_4",passed,,"1889 BANCSHARES, INC.",2010,both,12749,1210
"1889 Bancshares, Inc._Y-6_2010-12-31_English_7936410_4",passed,,"1889 BANCSHARES, INC.",2010,both,12749,1222
1867 Western Financial Corporation_Y-6_2010-12-31_English_7552643_4,failed,Invalid \escape: line 60 column 59 (char 1492),,,,,
"1889 Bancshares, Inc._Y-6_2010-12-31_English_7936410_4",passed,,"1889 BANCSHARES, INC.",2010,both,12749,1228
"1889 Bancshares, Inc._Y-6_2010-12-31_English_7936410_4",passed,,"1889 BANCSHARES, INC.",2010,both,12749,1222
"1889 Bancshares, Inc._Y-6_2010-12-31_English_7936410_4",passed,,"1889 BANCSHARES, INC.",2010,both,12749,1228
"1889 Bancshares, Inc._Y-6_2010-12-31_English_7936410_4",passed,,"1889 BANCSHARES, INC.",2010,both,12749,1222
"1889 Bancshares, Inc._Y-6_2010-12-31_English_7936410_4",passed,,"1889 BANCSHARES, INC.",2010,both,12749,1204
"1889 Bancshares, Inc._Y-6_2010-12-31_English_7936410_2",passed,,"1889 BANCSHARES, INC.",2010,both,12717,1228
"1889 Bancshares, Inc._Y-6_2010-12-31_English_7936410_4",passed,,"1889 BANCSHARES, INC.",2010,both,12749,1208
"1889 Bancshares, Inc._Y-6_2010-12-31_English_7936410_2",passed,,"1889 BANCSHARES, INC.",2010,both,12717,1228
"1ST SUMMIT BANCORP of Johnstown, Inc._Y-6_2010-12-31_English_7631448_2",passed,,"1ST SUMMIT BANCORP OF JOHNSTOWN, INC.",2010,both,4303,2142
"1ST SUMMIT BANCORP of Johnstown, Inc._Y-6_2010-12-31_English_7631448_2",passed,,"1ST SUMMIT BANCORP OF JOHNSTOWN, INC.",2010,both,4303,2313
"1ST SUMMIT BANCORP of Johnstown, Inc._Y-6_2010-12-31_English_7631448_2",passed,,"1ST SUMMIT BANCORP OF JOHNSTOWN, INC.",2010,both,4303,2559
"1ST SUMMIT BANCORP of Johnstown, Inc._Y-6_2010-12-31_English_7631448_2",passed,,"1ST SUMMIT BANCORP OF JOHNSTOWN, INC.",2010,both,4303,2297
"1ST SUMMIT BANCORP of Johnstown, Inc._Y-6_2010-12-31_English_7631448_2",passed,,"1ST SUMMIT BANCORP OF JOHNSTOWN, INC.",2010,both,4303,2406
"1ST SUMMIT BANCORP of Johnstown, Inc._Y-6_2010-12-31_English_7631448_2",passed,,"1ST SUMMIT BANCORP OF JOHNSTOWN, INC.",2010,both,4303,2211
"1889 Bancshares, Inc._Y-6_2010-12-31_English_7936410_4",passed,,"1889 BANCSHARES, INC.",2010,both,12749,1222
"1ST SUMMIT BANCORP of Johnstown, Inc._Y-6_2010-12-31_English_7631448_2",passed,,"1ST SUMMIT BANCORP OF JOHNSTOWN, INC.",2010,both,4303,2374
"1ST SUMMIT BANCORP of Johnstown, Inc._Y-6_2010-12-31_English_7631448_2",passed,,"1ST SUMMIT BANCORP OF JOHNSTOWN, INC.",2010,both,4303,2233
"1889 Bancshares, Inc._Y-6_2010-12-31_English_7936410_4",passed,,"1889 BANCSHARES, INC.",2010,both,12749,1210
"1ST SUMMIT BANCORP of Johnstown, Inc._Y-6_2010-12-31_English_7631448_2",passed,,"1ST SUMMIT BANCORP OF JOHNSTOWN, INC.",2010,both,4303,2148
"1ST SUMMIT BANCORP of Johnstown, Inc._Y-6_2010-12-31_English_7631448_2",passed,,"1ST SUMMIT BANCORP OF JOHNSTOWN, INC.",2010,both,4303,2154
"1ST SUMMIT BANCORP of Johnstown, Inc._Y-6_2010-12-31_English_7631448_2",passed,,"1ST SUMMIT BANCORP OF JOHNSTOWN, INC.",2010,both,4303,2204
"1ST SUMMIT BANCORP of Johnstown, Inc._Y-6_2010-12-31_English_7631448_4",passed,,"1ST SUMMIT BANCORP OF JOHNSTOWN, INC.",2010,both,4125,2127
"1ST SUMMIT BANCORP of Johnstown, Inc._Y-6_2010-12-31_English_7631448_2",passed,,"1ST SUMMIT BANCORP OF JOHNSTOWN, INC.",2010,both,4303,2029
