file,status,error,bank_name,year,presence,tokens,out_tokens
FRY6_1026632_FULL_REVISED_PUBLIC_20221231_1 OF 1,passed,,The Charles Schwab Corporation,2022,both,15961,4875
FRY6_1026632_FULL_REVISED_PUBLIC_20231231_1 OF 1,passed,,The Charles Schwab Corporation,2023,both,14355,4819
FRY6_1065453_FULL_REVISED_PUBLIC_20221231_1 OF 1,passed,,"Western Bancshares of New Mexico, Inc.",2022,both,33397,948
FRY6_1065453_FULL_REVISED_PUBLIC_20231231_1 of 1,passed,,"Western Bancshares of New Mexico, Inc.",2023,insiders,37638,631
FRY6_1065453_Full_Revised_Public_20181231_1 of 1,passed,,"Western Bancshares of New Mexico, Inc.",2018,both,50841,967
FRY6_1065453_Full_Revised_Public_20191231_1 of 1,passed,,"Western Bancshares of New Mexico, Inc.",2019,both,14788,977
FRY6_1065453_Full_Revised_Public_20201231_1 of 1,passed,,"Western Bancshares of New Mexico, Inc.",2020,both,37067,1104
FRY6_1065453_Full_Revised_Public_20211231_1 of 1,passed,,"Western Bancshares of New Mexico, Inc.",2021,both,39599,1132
FRY6_1100813_FULL_REVISED_PUBLIC_20221231_1 OF 1,passed,,"First Texas Bancorp, Inc.",2022,securities,40298,383
FRY6_1100813_FULL_REVISED_PUBLIC_20231231_1 of 1,failed,"504 Gateway Timeout. {'message': '<html>\r\n<head><title>504 Gateway Time-out</title></head>\r\n<body>\r\n<center><h1>504 Gateway Time-out</h1></center>\r\n</body>\r\n</html>\r\n', 'status': 'Gateway Timeout'}",,,,,
FRY6_1100813_Full_Revised_Public_20181231_1 of 1,passed,,"First Texas Bancorp, Inc.",2018,both,67016,1459
FRY6_1100813_Full_Revised_Public_20191231_1 of 1,passed,,"First Texas Bancorp, Inc.",2019,both,60607,954
FRY6_1100813_Full_Revised_Public_20201231_1 of 1,passed,,"First Texas Bancorp, Inc.",2020,both,45952,1438
FRY6_1100813_Full_Revised_Public_20211231_1 of 1,passed,,"First Texas Bancorp, Inc.",2021,both,158880,1366
FRY6_1101726_FULL_REVISED_PUBLIC_20221231_1 OF 1,passed,,"Texas Gulf Bancshares, Inc.",2022,both,35019,3091
FRY6_1101726_FULL_REVISED_PUBLIC_20231231_1 of 1,passed,,"Texas Gulf Bancshares, Inc.",2023,both,50203,3640
FRY6_1101726_Full_Revised_Public_20181231_1 of 1,passed,,"Texas Gulf Bancshares, Inc.",2018,both,33143,2346
FRY6_1101726_Full_Revised_Public_20191231_1 of 1,passed,,"TEXAS GULF BANCSHARES, INC.",2019,both,46129,2875
FRY6_1101726_Full_Revised_Public_20201231_1 of 1,passed,,"Texas Gulf Bancshares, Inc.",2020,both,37744,2961
FRY6_1101726_Full_Revised_Public_20211231_1 of 1,passed,,"Texas Gulf Bancshares, Inc.",2021,both,36552,2935
FRY6_1102161_FULL_REVISED_PUBLIC_20221231_1 OF 1,passed,,"Citizens Bancshares, Inc.",2022,insiders,4348,183
FRY6_1102161_FULL_REVISED_PUBLIC_20231231_1 of 1,passed,,"Citizens Bancshares, Inc.",2023,insiders,15805,947
FRY6_1102161_FULL_Revised_PUBLIC_20181231_1 OF 1,passed,,"Citizens Bancshares, Inc.",2018,both,62659,1486
FRY6_1102161_Full_Revised_Public_20191231_1 of 1,passed,,"Citizens Bancshares, Inc.",2019,both,63510,1462
FRY6_1102161_Full_Revised_Public_20201231_1 of 1,passed,,"Citizens Bancshares, Inc.",2020,both,70644,1466
FRY6_1102161_Full_Revised_Public_20211231_1 of 1,passed,,"Citizens Bancshares, Inc.",2021,both,61861,1430
FRY6_1102170_FULL_REVISED_PUBLIC_20221231_1 OF 1,passed,,"ETEX Banco, Inc.",2022,both,5765,2998
FRY6_1102170_FULL_REVISED_PUBLIC_20231231_1 of 1,passed,,"ETEX Banco, Inc.",2023,both,34392,2918
