file,status,error,bank_name,year,presence,tokens,out_tokens
1867 Western Financial Corporation_Y-6_2007-12-31_English_9085434,passed,,1867 Western Financial Corp,2007,both,7943,3798
1867 Western Financial Corporation_Y-6_2007-12-31_English_9085434_2,failed,"504 Gateway Timeout. {'message': '<html>\r\n<head><title>504 Gateway Time-out</title></head>\r\n<body>\r\n<center><h1>504 Gateway Time-out</h1></center>\r\n</body>\r\n</html>\r\n', 'status': 'Gateway Timeout'}",,,,,
"1889 Bancshares, Inc._Y-6_2007-12-31_English_9076414",passed,,"1889 Bancshares, Inc.",2007,both,7434,1025
"1889 Bancshares, Inc._Y-6_2007-12-31_English_9076414_2",passed,,"1889 Bancshares, Inc.",2007,both,7435,991
"1ST SUMMIT BANCORP of Johnstown, Inc._Y-6_2007-12-31_English_9223703",passed,,"1ST SUMMIT BANCORP OF JOHNSTOWN, INC.",2007,both,4269,2251
"1ST SUMMIT BANCORP of Johnstown, Inc._Y-6_2007-12-31_English_9223703_2",passed,,"1ST SUMMIT BANCORP OF JOHNSTOWN, INC.",2007,both,4287,2191
"1st Advantage Bancshares, Inc._Y-6_2007-12-31_English_8548709",passed,,"1st Advantage Bancshares, Inc.",2007,both,15043,2110
"1st Advantage Bancshares, Inc._Y-6_2007-12-31_English_8548709_2",passed,,"1st Advantage Bancshares, Inc.",2007,both,6050,2239
1st Centennial Bancorp._Y-6_2007-12-31_English_9085429,passed,,1st Centennial Bancorp,2007,insiders,6433,2125
1st Centennial Bancorp._Y-6_2007-12-31_English_9085429_2,passed,,1st Centennial Bancorp,2007,insiders,12588,2092
"1st Century Bancshares, Inc._Y-6_2007-12-31_English_9085433",passed,,"1ST CENTURY BANCSHARES, INC.",2007,insiders,16884,2790
"1st Century Bancshares, Inc._Y-6_2007-12-31_English_9085433_2",passed,,"1ST CENTURY BANCSHARES, INC.",2007,insiders,18901,2790
"1st Choice Bancorp, Inc._Y-6_2007-12-31_English_9092031",passed,,"1st Choice Bancorp, Inc.",2007,both,4792,2608
"1st Choice Bancorp, Inc._Y-6_2007-12-31_English_9092031_2",passed,,"1st Choice Bancorp, Inc.",2007,both,4851,2591
"1st Colonial Bancorp, Inc._Y-6_2007-12-31_English_9223705",passed,,"1st Colonial Bancorp, Inc.",2007,insiders,4584,2120
"1st Colonial Bancorp, Inc._Y-6_2007-12-31_English_9223705_2",passed,,"1st Colonial Bancorp, Inc.",2007,insiders,4584,2836
"1st Financial Bancshares, Inc._Y-6_2007-12-31_English_8619738",passed,,"SECOND CAPITAL INVESTMENTS, LLC",2007,both,26095,7217
"1st Financial Bancshares, Inc._Y-6_2007-12-31_English_8619738_2",passed,,"First Capital Investments, LLC",2007,both,25959,6995
"1st Independence Financial Group, Inc._Y-6_2007-12-31_English_8593634",failed,"504 Gateway Timeout. {'message': '<html>\r\n<head><title>504 Gateway Time-out</title></head>\r\n<body>\r\n<center><h1>504 Gateway Time-out</h1></center>\r\n</body>\r\n</html>\r\n', 'status': 'Gateway Timeout'}",,,,,
"1st Independence Financial Group, Inc._Y-6_2007-12-31_English_8593634_2",failed,"504 Gateway Timeout. {'message': '<html>\r\n<head><title>504 Gateway Time-out</title></head>\r\n<body>\r\n<center><h1>504 Gateway Time-out</h1></center>\r\n</body>\r\n</html>\r\n', 'status': 'Gateway Timeout'}",,,,,
"1st Jackson Bancshares, Inc._Y-6_2007-12-31_English_9136195(1)",passed,,"1st Jackson Bancshares, Inc.",2007,insiders,2102,197
"1st Jackson Bancshares, Inc._Y-6_2007-12-31_English_9136195",passed,,"1st Jackson Bancshares, Inc.",2007,none,2102,74
"1st Jackson Bancshares, Inc._Y-6_2007-12-31_English_9136195_2(1)",failed,"504 Gateway Timeout. {'message': '<html>\r\n<head><title>504 Gateway Time-out</title></head>\r\n<body>\r\n<center><h1>504 Gateway Time-out</h1></center>\r\n</body>\r\n</html>\r\n', 'status': 'Gateway Timeout'}",,,,,
