file,status,error,bank_name,year,presence
"1889 Bancshares, Inc._Y-6_2023-12-31_English_243974485",passed,,"1889 Bancshares, Inc.",2023,none
"1889 Bancshares, Inc._Y-6_2023-12-31_English_243974485_2",passed,,"1889 Bancshares, Inc.",2023,insiders
215 Holding Co._Y-6_2023-12-31_English_226294664,passed,,215 Holding Co.,2023,both
215 Holding Co._Y-6_2023-12-31_English_226294664_2,passed,,215 Holding Co.,2023,both
"3MV Bancorp, Inc._Y-6_2023-12-31_English_244058446",passed,,"3MV Bancorp, Inc.",2023,both
"3MV Bancorp, Inc._Y-6_2023-12-31_English_244058446_2",passed,,"3MV Bancorp, Inc.",2023,both
"A.N.B. Holding Company, Ltd._Y-6_2023-12-31_English_241335825_1",passed,,"A.N.B. Holding Company, Ltd.",2023,both
"A.N.B. Holding Company, Ltd._Y-6_2023-12-31_English_241335825_2",passed,,"A.N.B. Holding Company, Ltd.",2023,both
"ABCT Holdings, Inc._Y-6_2023-12-31_English_241396052_1",passed,,"ABCT Holdings, Inc",2023,both
"ABCT Holdings, Inc._Y-6_2023-12-31_English_241396052_2",passed,,"ABCT Holdings, Inc",2023,both
"AC Bancorp, Inc._Y-6_2023-12-31_English_230650036",passed,,"AC BANCORP, INC.",2023,both
"AC Bancorp, Inc._Y-6_2023-12-31_English_230650036_2",passed,,"AC BANCORP, INC.",2023,both
"AFNB Holdings, Inc._Y-6_2023-12-31_English_241394922_1",passed,,"AFNB Holdings, Inc.",2023,both
"AFNB Holdings, Inc._Y-6_2023-12-31_English_241394922_2",passed,,"AFNB Holdings, Inc.",2023,both
AMG National Corp._Y-6_2023-12-31_English_244153891,passed,,AMG National Corp.,2023,both
AMG National Corp._Y-6_2023-12-31_English_244153891_2,passed,,AMG National Corp.,2023,both
"ANB Bancorp, Inc._Y-6_2023-12-31_English_230649970",passed,,"ANB Bancorp, Inc.",2023,securities
"ANB Bancorp, Inc._Y-6_2023-12-31_English_230649970_2",passed,,"ANB Bancorp, Inc",2023,securities
"ANB Bancshares, Inc._Y-6_2023-12-31_English_241387026_1",passed,,"ANB Bancshares, Inc.",2023,both
"ANB Bancshares, Inc._Y-6_2023-12-31_English_241387026_2",passed,,"ANB Bancshares, Inc.",2023,both
